smiles_list,monomer_ID,replicate_count,heavy_atom_count,bulk_modulus,bulk_modulus_std,bulk_modulus_count,bulk_modulus_raw
*CC(*)OC(=O)c1ccc(OCC)cc1,PI343,2,14,-0.07271551572992929,12590677.028110402,2,2775916493.9971213
*CC(*)OC(=O)c1ccccc1OC,PI357,3,13,0.2866106892797104,516637726.06152475,3,3049998411.9247465
*CC(*)NC(=O)OC(C)(C)C,PI348,2,10,-1.288578799196198,97858530.64328746,2,1848496962.5959125
*c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Oc4ccc(Sc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI1115,1,58,0.12948371897680908,0.0,1,2930147255.0139365
*C(C)C(*)OC(C)(C)C,PI285,2,8,-0.5015861356101872,7262425.1453786725,2,2448788440.4324303
*CC(*)c1cccc(C)c1,PI113,1,9,0.04905102271321345,0.0,1,2868795905.324801
*C=CC1CCC(*)C1,PI75,1,7,-0.6801276051027149,0.0,1,2312603025.3252416
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,PI311,1,13,-1.7189480749233912,0.0,1,1520225784.8640585
*CC(*)c1ccc(CCC)cc1,PI233,2,11,-0.9054184148394981,381861354.75130886,2,2140758789.187583
*CC(*)OC(=O)CC(C)(C)c1ccccc1,PI363,1,15,0.9238003445940858,0.0,1,3536025204.230421
*/C=C\CCCCC*,PI74,1,7,-0.3681240392536265,0.0,1,2550588829.132348
*CC(*)(C)C(=O)OC(C)C,PI440,1,9,-0.4257444252280837,0.0,1,2506637940.832438
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,1.6660366901450396,566245832.1016393,2,4102178071.2019224
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,1.3654376676568263,0.0,1,3872891268.675153
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,0.026734145217678727,437463994.7569965,4,2851773343.371748
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,0.2342088313266548,0.0,1,3010028040.906693
*CC(*)C(C)c1ccccc1,PI28,2,10,-1.0784370556090677,196067875.01623946,2,2008786001.6808043
*/C=C\CCCC*,PI60,2,6,-0.6797522259904779,225679789.36508673,2,2312889351.8597317
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,PI128,2,20,-0.7916000539594569,187814701.29827502,2,2227575598.567081
*CC(*)C(=O)OCCCCCCCC,PI421,1,13,-0.8962475682646622,0.0,1,2147754001.8472986
*CC(*)c1ccccc1C(=O)OC(C)C,PI101,2,14,-0.7551721230211266,516813.4038112914,2,2255361596.466802
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,1.7450034441310902,146344295.77060017,5,4162411249.532
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC(*)(C)C)cc5C4=O)cc3)cc1)C2=O,PI989,4,49,1.3943087582415268,200780196.87375057,4,3894913163.459878
*CC(*)c1ccc(-c2ccccc2)cc1,PI132,1,14,-0.36175254948501523,0.0,1,2555448786.7738743
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,-0.12270576583653091,75169176.14070183,2,2737785616.16
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,-1.5369466400440912,0.0,1,1659050344.9485648
*CC(*)CCC1CCCCC1,PI42,1,10,0.6628073376461215,0.0,1,3336948535.4189243
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,PI469,2,15,0.765569308014892,108690888.20340306,2,3415331902.777113
*CC(*)C(=O)Oc1cccc(N(C)C)c1,PI475,2,14,1.1073200490780177,147526140.231117,2,3676007849.1953707
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,PI366,3,13,-0.609883250789003,281586414.6052333,3,2366183051.177721
*CC(*)C(=O)c1ccc(Br)c(OC)c1,PI322,2,13,0.030874867498840115,235105009.92499515,2,2854931746.7628837
*CC(*)N1Cc2ccccc2N1,PI229,2,11,0.34262926753824,327139704.9287211,2,3092727495.288607
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.11593584909340225,355698942.9472683,2,2742949480.468525
*CC(*)OC(=O)c1cccc(Cl)c1,PI338,1,12,0.14804147880855636,0.0,1,2944302488.715829
*CC(*)CCC,PI4,2,5,-0.34575241854939837,99153668.06576288,2,2567653147.3598475
*CC(*)OC(=O)CCCCC,PI385,1,10,-0.7761508758396677,0.0,1,2239359710.915257
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(C(C)(C)C)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1014,5,70,1.00892718542276,291783947.0174527,5,3600957089.1755137
*CC(*)CNc1ccc([N+](=O)[O-])cc1,PI392,2,13,2.6401033897875297,140186947.8084002,2,4845163318.326561
*CC(*)(C)C(=O)OC(C)(C)C,PI444,1,10,-1.8640362268528394,0.0,1,1409557432.834651
*CC(*)c1ccc(C(=O)OC(C)C)cc1,PI163,2,14,-0.45763349551542504,393942049.01207745,2,2482314032.8529215
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,2.0905584593397455,451293348.890074,2,4425988968.043672
*CC(*)CCCN(CC(C)C)CC(C)C,PI266,1,14,-0.06609519357893001,0.0,1,2780966252.592924
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,PI467,3,15,1.0536674767410485,198041614.88555706,3,3635083475.401167
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,-1.0038705694165617,0.0,1,2065662804.051
*CC(*)C(=O)N1CCOCC1,PI462,1,10,0.8303360302887447,0.0,1,3464733775.5356755
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(C2CCC(N4C(=O)c5ccc(*)cc5C4=O)CC2)C3=O)cc1,PI1088,1,40,1.8050065304788652,0.0,1,4208179581.3666735
*CC(*)CCCCCCCCCCCC,PI32,2,14,-0.7491148867868529,261875425.47774407,2,2259981852.1043944
*CC(OC)C(C(=O)O)C(*)C(=O)O,PI388,1,12,4.655201773031478,0.0,1,6382212445.254394
*CC(*)C(=O)OC(CC)CC,PI457,2,10,-0.9887234957219234,251372034.88249844,2,2077216481.3262386
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccccc8Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,PI1078,5,77,-0.13235857168286239,275036770.52867794,5,2730422781.2126446
*CC(*)C(=O)c1ccc(C)cc1,PI330,1,11,-0.11194107383325244,0.0,1,2745996560.391244
*CC(*)OCC,PI254,1,5,-0.9391040086281103,0.0,1,2115064553.6339417
*CC(*)(C)C,PI13,1,4,1.814713249394367,0.0,1,4215583539.3860273
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,PI466,1,16,0.7104169154471862,0.0,1,3373263516.6630287
*C(CC)C(*)CC,PI62,1,6,-0.7503170096969896,0.0,1,2259064913.2666435
*CC(*)C(=O)C1CCCCC1,PI300,1,10,0.018102895063581283,0.0,1,2845189716.674428
*CC(*)CCc1ccccc1C,PI281,1,11,0.07517252336265783,0.0,1,2888720505.5830965
*C1CCC1*,PI72,2,4,-0.95522256148966,1188282443.1838822,2,2102769864.7943318
*CC(*)CCCCCC,PI30,1,8,-1.2241252284632629,0.0,1,1897659973.9139788
*CC(*)c1ccc(C(=O)CCC)cc1,PI168,2,13,-0.9480408022226782,4597465.608884819,2,2108247868.6987119
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,-0.6395361091491174,0.0,1,2343564850.2837496
*CC(*)OC(=O)c1cccc(C)c1,PI361,1,12,0.19406288759441398,0.0,1,2979406068.165095
*C(F)C(*)(F)OC(F)(F)F,PI314,1,9,0.23229345589583425,0.0,1,3008567057.086666
*CC(*)c1ccc(COC)cc1,PI147,2,11,-0.17014405402293828,237052929.80686757,2,2701601288.8605614
*CC(*)C(=O)Oc1ccccc1,PI463,1,11,0.8697569798879569,0.0,1,3494802747.1888576
*c1ccc(Sc2ccc3c(c2)Sc2ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc2S3)cc1,PI1086,2,44,1.6768439769807966,322777472.9445901,2,4110421505.335703
*CC(*)(C)C(=O)Oc1ccccc1,PI449,1,12,0.0028345032921647324,0.0,1,2833543502.059304
*/C=C/CCC*,PI58,1,5,-1.4284558358578645,0.0,1,1741803473.6497507
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,-0.06507249459904955,0.0,1,2781746332.904241
*CC(*)c1ccccc1COCCC,PI87,2,13,-0.8274342421375208,95595373.66993903,2,2200242487.63252
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,0.5614712571766374,750440444.8962892,2,3259652788.8156414
*CC(*)OC(=O)c1ccc(OC)cc1,PI359,2,13,-0.10247603362811701,449959360.4522136,2,2753216174.0362215
*CC(*)c1ccccc1C(=O)OC,PI98,1,12,-0.6386607406547755,0.0,1,2344232551.866539
*CC(*)Cc1cc(C)cc(C)c1,PI293,2,11,-0.341996378186592,1965159.6685739348,2,2570518128.3495417
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,PI399,1,35,1.7182742667659459,0.0,1,4142023133.95699
*CC(*)OC(=O)c1ccccc1C,PI360,1,12,0.9418577772486139,0.0,1,3549798805.2252865
*CC(*)c1ccc(COC(C)CC)cc1,PI152,1,14,-0.46390060826658186,0.0,1,2477533690.4822345
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,PI238,2,16,0.32396881721034715,325052228.1223925,2,3078493932.737485
*Oc1ccc(Oc2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,PI546,1,30,-0.20641194249536005,0.0,1,2673937365.959531
*CC(*)CC(C)C,PI7,1,6,-0.49104073009737975,0.0,1,2456832120.3198943
*CC(*)SCC,PI309,3,5,-0.15837286023672617,370925657.18043566,3,2710579958.7272253
*CC(*)C(=O)OCCCCCCCCCCCCCC,PI423,1,19,-0.8866025212712707,0.0,1,2155110918.603147
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,1.8883560126547565,210782387.11411062,2,4271755757.038108
*CC(*)c1ccc(C(=O)N(C)C)cc1,PI155,3,13,0.12717088559798873,248409914.20465285,3,2928383103.667677
*c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI973,5,56,-0.9065381171740658,84830109.12480475,5,2139904717.986853
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,-1.0679729576136516,69653018.96020208,2,2016767662.934509
*CC(*)CCCCCCCCCC,PI31,1,12,-0.5299164098462689,0.0,1,2427179062.1299696
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,PI165,1,15,-0.16310493596229575,0.0,1,2706970490.8605328
*CC(*)CCCCCCCCCCCCCCCCCCCC,PI54,3,22,-0.469749325147852,86090668.39902407,3,2473072486.3788733
*CC(*)c1cc(Br)ccc1OC(C)C,PI202,1,13,-1.120987980658773,0.0,1,1976329590.251237
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,PI1032,3,40,0.9827036736076769,146668226.81967884,3,3580954678.238402
*CC(*)(C)c1ccccc1,PI213,1,9,-0.4438380470757304,0.0,1,2492836735.940835
*CC(*)CCCC,PI6,1,6,-0.7910690686507116,0.0,1,2227980616.2634897
*CC(*)c1ccc(C(=O)OC)cc1,PI160,2,12,-0.8744207020962783,297775033.44739556,2,2164402799.6760564
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,PI157,2,16,-0.34121764841170477,65435886.99252217,2,2571112117.174383
*CC(*)c1ccc(C(C)(O)CCCC)cc1,PI142,1,15,-1.2051328313593532,0.0,1,1912146734.277429
*CCC=C(*)CCC,PI77,1,7,-0.6739029456279012,0.0,1,2317350985.767641
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI1112,3,54,-0.7013661733921178,385172000.5219241,3,2296402961.289722
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1003,1,58,-0.4313117163439035,0.0,1,2502391398.8173785
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI976,5,39,0.6391416887160456,562645924.244615,5,3318897176.07656
*/C=C/C(C*)OC,PI279,3,6,-0.1739794559298843,331522593.5525799,3,2698675773.5599146
*/C=C\CC*,PI47,1,4,-0.7582608240122076,0.0,1,2253005639.456882
*CC(*)CCCC(C)(C)C,PI41,1,9,-0.22156642990482306,0.0,1,2662378033.7525067
*C1CC(*)(C#N)C1,PI290,1,6,0.4376006230478341,0.0,1,3165168444.2184453
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,-0.844796544772179,0.0,1,2186999108.387137
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,PI156,1,15,0.03974916637491078,0.0,1,2861700762.8332567
*CC(*)CCCCCCCC,PI12,1,10,-0.8227904083800377,0.0,1,2203784647.500192
*CC(*)c1ccc(C(C)C)cc1,PI120,1,11,-1.622267879112025,0.0,1,1593970179.5788462
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(c7ccccc7)CC6)cc5)cc4C3=O)cc2)cc1,PI1028,2,61,1.0073241364592846,519914175.0578684,2,3599734337.4576716
*CC(*)c1ccccc1COCCCC,PI89,2,14,-0.6406492383714786,682135131.7349101,2,2342715792.831461
*CC(*)c1cccc(Cl)c1,PI116,2,9,-1.80460980126202,386789489.7815016,2,1454885907.2805328
*CC(*)c1ccccc1C(=O)O,PI97,1,11,1.2489215330333252,0.0,1,3784016688.413839
*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)cc2C)cc1,PI998,3,53,0.7080912779603521,688117433.1292007,3,3371489598.7747445
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,-1.5674765708252865,0.0,1,1635763142.773919
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,0.8524278143190616,232145085.9600065,4,3481584643.7803383
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O,PI1049,5,55,0.3353748926542895,91539545.92278984,5,3087194102.639146
*CC(*)C=O,PI242,1,4,3.251658259758273,0.0,1,5311636760.404252
*CC(*)c1ccc(CC)cc1,PI119,1,10,-1.6076140147766664,0.0,1,1605147653.3786726
*CC(*)c1ccccc1COCCCCC,PI90,2,15,-0.9017799063490094,76926723.1403444,2,2143534120.8265386
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,0.718508189256883,0.0,1,3379435267.604989
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,-0.4625655326292006,341410704.38693637,2,2478552041.1790953
*CC(*)c1cc(Br)ccc1OCC,PI199,1,12,-1.9047024683009344,0.0,1,1378538594.5322714
*CC(*)c1ccccc1COC,PI85,2,11,-0.5762096015377757,308456622.2230921,2,2391868175.8408413
*CC(*)c1ccc(C(=O)CCCC)cc1,PI169,3,14,-0.01368613690141262,290904290.1388856,3,2820942114.555361
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI1000,5,62,-0.26764225314429463,120381987.60133068,5,2627232948.792088
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,-1.337555918268981,0.0,1,1811138866.963344
*CC(*)C(=O)OCCCCCCC,PI420,1,12,-0.13671226839051848,0.0,1,2727101928.107379
*Nc1ccc(*)cc1,PI1131,2,7,2.4431457210857266,2320597012.9949403,2,4694930647.188936
*C=CCCCCCCCCCC*,PI78,2,12,-0.5511123158859427,115370220.94061361,2,2411011539.420593
*c1ccc2c(c1)C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(CC)c3)cc1CC)C2=O,PI972,5,52,-0.8964674363747234,342089840.2213875,5,2147586293.863699
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,PI1110,1,42,0.6638994994617475,0.0,1,3337781599.6400714
*C=CCCCCCCCC*,PI53,2,10,-0.4789424416559676,79195627.36256948,2,2466060286.96467
*CC(*)c1ccccc1C(=O)OCCC,PI100,2,14,-0.7643339903614256,570945533.8322212,2,2248373232.864542
*CC(*)C1CCCCC1,PI24,1,8,-0.16373887546712973,0.0,1,2706486943.1734657
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,PI365,2,13,-0.2364993203816934,338099497.44359756,2,2650987728.2166386
*CCCCCCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,PI970,4,37,-0.0627284867610849,948578105.898059,4,2783534263.0771866
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,-2.0383410521055456,436531075.4321906,5,1276603587.1555705
*CC(*)C(=O)c1ccc(C)c(C)c1,PI328,1,12,0.1422881612110369,0.0,1,2939914051.9706364
*c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1034,1,42,1.6927258226006832,0.0,1,4122535641.8696976
*CC(*)OCC(C)(C)C,PI276,1,8,-1.1856085568862986,0.0,1,1927039192.7708936
*CC(*)OC(=O)CC1CCCCC1,PI341,2,12,-0.4984697984892821,355824491.9272117,2,2451165477.350692
*CC(*)C(=O)c1ccc(C(C)C)cc1,PI326,2,13,-0.9068650417942841,337954068.8889036,2,2139655350.905694
*CC(*)OCCOC,PI375,2,7,-0.20295075779665872,0.0,1,2676577440.9868903
*CCCC(*)(C)C,PI17,1,6,0.6831003195891443,0.0,1,3352427338.0608444
*CC(*)C(C)=O,PI246,1,5,1.2797983531492199,0.0,1,3807568486.0809298
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,1.3012265766384439,0.0,1,3823913212.710458
*C=CC(C)C(*)C(=O)OC,PI268,2,9,-0.31779949484030645,173026671.6802842,2,2588974695.399092
*CC(*)C(=O)NC(C)C,PI456,1,8,-1.2550745611779506,0.0,1,1874052866.0805988
*CCCCO*,PI527,1,5,-0.36890019101255345,0.0,1,2549996806.731188
*CC(*)C(=O)OC,PI411,1,6,-0.38831462789230187,0.0,1,2535188128.651771
*CC(*)c1ccccc1COCC,PI86,1,12,-0.06401191798090693,0.0,1,2782555305.0013413
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,1.4284922774729365,0.0,1,3920987199.758481
*CC(*)c1ccc(C(=O)CCCCC)cc1,PI170,1,15,-0.16518146454338645,0.0,1,2705386584.8492203
*CCCCCCCC(*)C,PI19,1,9,-1.4592551009167174,0.0,1,1718310832.3661425
*CC(*)c1c(C)cc(C)cc1C,PI210,1,11,-1.070993407151864,0.0,1,2014463765.8323908
*CC(*)c1ccc(Br)cc1,PI136,1,9,-0.09210544428690268,0.0,1,2761126510.040253
*C(C)C(*)OCCCC,PI284,1,8,-1.152664051995075,0.0,1,1952168150.6923463
*CC(*)c1cc(C(C)C)ccc1C(C)C,PI194,1,14,-1.373504973111417,0.0,1,1783718139.6088336
*CC(*)c1ccc(COCCOCC)cc1,PI133,2,15,-0.2759759006174718,209449547.4821019,2,2620876323.38894
*c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C4(CC(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc64)CC5(C)C)cc3C2=O)c1,PI986,3,51,0.6984924410319759,57458117.96037961,3,3364167929.4989586
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-0.41885885105158893,0.0,1,2511890024.732848
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI977,5,38,-0.5933464627295213,536532151.2664432,5,2378796755.729505
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,PI269,1,28,1.98239613207794,0.0,1,4343486390.468969
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,PI687,1,30,-0.3878648616832065,0.0,1,2535531195.1564937
*CC(*)c1ccccc1,PI82,1,8,-0.4483637733301336,0.0,1,2489384664.495645
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(*)C(=O)C6C5C4=O)cc3)cc2)cc1,PI1067,3,36,1.6249890903117306,309536801.25249696,3,4070868345.57716
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,0.8734540812772008,546656643.86523,3,3497622771.5160832
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCC(C(C)(C)C)CC8)cc7)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,PI1013,4,81,0.5451516135247175,279466763.2936194,4,3247204714.698994
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,PI586,1,30,-0.018630356188153598,0.0,1,2817170830.7306023
*c1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)cc2)cc1,PI1114,1,66,0.9943472032120091,0.0,1,3589835970.1701074
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,1.1692270040806951,0.0,1,3723228387.8692417
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,0.15586428126447183,375729131.10998666,2,2950269458.7580743
*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc1C)C2=O,PI971,5,48,-0.8927735396827678,683241360.311014,5,2150403873.755849
*CC(*)C(=O)OCC(C)(C)C,PI459,1,10,-0.02655751966319682,0.0,1,2811124257.620502
