smiles_list,monomer_ID,replicate_count,heavy_atom_count,cp,cp_std,cp_count,cp_raw
*CC(*)c1nc(C)nc(C)n1,PI383,1,10,0.06594311805308083,0.0,1,3237.11676611796
*C(C)C(*)OCC,PI286,1,6,1.0064502856981257,0.0,1,3939.804999698655
*CC(*)OC(=O)CCCCC,PI385,1,10,1.0218688226455657,0.0,1,3951.324767824531
*C(C)C(*)O,PI297,2,4,0.6206808392100271,239.71574497748233,2,3651.582155421055
*CC(*)OC(=O)c1ccccc1OC(C)=O,PI331,2,15,-0.2133259391134808,203.52553007033825,2,3028.4643632176353
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,PI466,1,16,-0.4983836140810781,0.0,1,2815.487066518076
*/C=C\CCCCC*,PI74,1,7,1.7225722557276593,0.0,1,4474.846623473176
*C(C)C(*)OC(C)(C)C,PI285,2,8,0.9464181666318178,62.248993390383525,2,3894.9527485346
*CC(*)C(=O)N1CCCCC1,PI461,1,10,0.7383315145571164,0.0,1,3739.4833943305102
*C=CC(C*)OC,PI303,3,6,0.8629471849155974,220.71048085673254,3,3832.588442641767
*Nc1ccc(*)cc1,PI1131,2,7,-0.25281434153493293,41.452346742257625,2,2998.961094450495
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)nc1,PI715,1,28,-0.9477705924627009,0.0,1,2479.733174472964
*CC(*)c1ccccc1C(=O)OCC(C)C,PI103,1,15,0.1582522050582554,0.0,1,3306.0843524613247
*CC(*)OC(=O)c1ccc(OC)cc1,PI359,2,13,-0.2763077793358045,175.07495282247555,2,2981.4082645764083
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,-1.0102110253778727,71.27570429715104,2,2433.0815815680016
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.2559017860827102,0.0,1,2249.5167852687173
*CC(*)Cc1ccccc1,PI26,1,9,0.3406626996798853,0.0,1,3442.37008494883
*CC(*)c1ccc(C(=O)CCC)cc1,PI168,2,13,0.7717632014003454,49.613421511748,2,3764.4614633784195
*CC(*)CCCCCC,PI30,1,8,1.79901953522728,0.0,1,4531.963257605955
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-0.8397683817560615,3.857564467907865,4,2560.4256830205445
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,PI547,1,18,-1.0145794111607922,0.0,1,2429.817796458224
*CC(*)c1ccc(Br)cc1,PI136,1,9,-1.6541747581205721,0.0,1,1951.9520873781416
*CC(*)c1ccccc1C(=O)OC,PI98,1,12,-0.1255944135940766,0.0,1,3094.011881426275
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-1.0146454599677235,23.422523117240104,5,2429.768448913549
*C(CC)C(*)CC,PI62,1,6,1.748416246467729,0.0,1,4494.155639742863
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,-1.1097458541480731,148.16814238059172,5,2358.7153721286645
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,0.13466427558491,98.39202031158248,3,3288.460924309306
*CCC=C(*)CCC,PI77,1,7,1.6126080512720165,0.0,1,4392.688235696588
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,0.04183802640884161,0.0,1,3219.106946681705
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,-0.07099606828395233,25.4625693792921,2,3134.8043561061486
*CC(*)c1ccc(I)cc1,PI176,1,9,-2.1230539673091045,0.0,1,1601.634817503012
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,-1.147415294016676,0.0,1,2330.571118611149
*CC(*)NC(=O)OC(C)(C)C,PI348,2,10,0.3830497273915832,7.247676591314007,2,3474.0390255524917
*CC(*)c1ccc(C(=O)OCC)cc1,PI161,1,13,0.03163814650424209,0.0,1,3211.48623326296
*CC(*)OC(=O)c1ccc(CC)cc1,PI344,2,13,0.15196444415244303,61.45016698960978,2,3301.386530099007
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,PI434,1,15,-2.1015217177055083,0.0,1,1617.722370006046
*C1CCC1*,PI72,2,4,0.7773359985319701,15.247554283453344,2,3768.625109448582
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,-1.353694301580849,0.0,1,2176.4523235221222
*CC(*)c1ccc(COCCOCC)cc1,PI133,2,15,0.7244609971023014,97.9828263307762,2,3729.120209716427
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,0.22444880985470742,0.0,1,3355.542322473323
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,1.4071320396916345,0.0,1,4239.169389070299
*CC(*)CC(C)C,PI7,1,6,1.7051300307677766,0.0,1,4461.814882016632
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,-0.7719616023356274,83.07405075805413,2,2611.0866749777297
*Cc1cc(*)c(O)cc1C,PI1138,1,9,-0.1599597079885847,0.0,1,3068.336279107345
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,PI471,2,18,0.07047859161009364,237.81402369432703,2,3240.505388780145
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI1083,5,46,-1.2676891543939024,29.874549938638854,5,2240.7099996299685
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI1071,5,49,-0.26759037005733255,30.911734014214304,5,2987.921368503758
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(C2CCC(N4C(=O)c5ccc(*)cc5C4=O)CC2)C3=O)cc1,PI1088,1,40,-0.8537648580156613,0.0,1,2549.9683898519675
*CC(*)c1cc(C)cc(C)c1,PI205,1,10,0.36325762339045675,0.0,1,3459.2516011948223
*C(=O)Nc1cccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c1,PI990,3,29,-0.7156766351755317,559.4099595411494,3,2653.139288196943
*CC(*)CCC,PI4,2,5,1.6632366229770474,101.06343917595802,2,4430.514743397961
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1,PI1047,3,84,-0.13700132349381788,60.52288378082274,3,3085.489350558027
*CC(*)c1cc(Cl)ccc1Cl,PI195,2,10,-1.5566438975557044,2.15369372051747,2,2024.8210568954448
*CC(*)C(=O)OCCCC,PI415,1,9,1.4633381581791567,0.0,1,4281.16309148441
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(C(c4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)c4cccc5ccccc45)cc3C)cc1)C2=O,PI1006,5,72,-0.8538641298985274,76.58089819825345,5,2549.89422009929
*CC(*)C(=O)N1CCOCC1,PI462,1,10,0.2545913673890843,0.0,1,3378.0629594637576
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC(*)(C)C)cc5C4=O)cc3)cc1)C2=O,PI989,4,49,-0.22565845072266763,59.49168814277172,4,3019.250280543527
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,PI960,5,29,-0.7256287723368517,146.84445906477936,5,2645.7036726877586
*CC(*)(C)c1ccccc1,PI213,1,9,0.3294453300594207,0.0,1,3433.9891667430043
*CC(*)c1ccc(O)cc1,PI231,1,9,0.11839002824557436,0.0,1,3276.3018228062656
*CC(*)c1ccc(CCCCCC)cc1,PI124,2,14,1.1425403739110738,202.79740508592985,2,4041.483016606963
*CC(*)CCCC(C)(C)C,PI41,1,9,1.689798727833622,0.0,1,4450.360289698886
*CC(*)c1ccccc1,PI82,1,8,0.34551403173251527,0.0,1,3445.994697357805
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCC(C(C)(C)C)CC8)cc7)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,PI1013,4,81,-0.7161672711204119,35.124285420360096,4,2652.772715652576
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccccc8Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,PI1078,5,77,-0.913506039926246,41.469003376050445,5,2505.3335087655373
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,-1.3886147242862272,375.344921964428,5,2150.3619639896424
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,-0.26354177031984133,0.0,1,2990.9462294467494
*CC(*)Cc1cccc(C)c1,PI294,1,10,0.4086749526038055,0.0,1,3493.18459387875
*CC(*)CCc1ccccc1C,PI281,1,11,1.0156742446827594,0.0,1,3946.6965659392
*CC(*)c1cc(Br)ccc1OC(C)C,PI202,1,13,-1.1058512625572308,0.0,1,2361.6251678002272
