smiles_list,monomer_ID,replicate_count,heavy_atom_count,density,density_std,density_count,density_raw
*CC(*)OC(=O)C(F)(F)C(F)(F)F,PI352,1,12,2.331660650857875,0.0,1,1.58126337455
*CC(*)N1CCNC1,PI400,3,7,-0.21504575355416114,0.005113812511105019,3,1.0761530996500002
*CC(*)O[N+](=O)[O-],PI267,1,6,1.4900518163481773,0.0,1,1.4143398261500002
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,0.48418075621235485,0.0,1,1.2148367319499995
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.3959379655974131,0.005367689047799865,2,1.040275185025
*CC(*)NC(=O)OC(C)(C)C,PI348,2,10,-0.5128039492560018,0.00802317872765998,2,1.017096145215
*CC(*)Cc1ccccc1C,PI295,1,10,-0.771857571737006,0.0,1,0.965715803045
*CCCC=C(*)c1ccc(Cl)cc1,PI391,2,12,-0.0014777474693179994,0.0014631075921290998,2,1.1185118867
*C=CCC(C)(CC*)C(=O)OC,PI280,1,11,-0.6124601849480309,0.0,1,0.997330463345
*CC(*)CCCCCCC,PI11,1,9,-1.4493671755903457,0.0,1,0.831339472245
*CC(*)c1ccccc1F,PI112,2,9,-0.08309044679017516,0.005555019523937586,2,1.102324935225
*C(C)C(*)OC(C)(C)C,PI285,2,8,-1.2348089000536062,0.009484266338453869,2,0.8738946679874999
*CC(*)OCCOC,PI375,2,7,-0.29047633791313765,0.0014688155348435265,2,1.0611923004250001
*CC(*)Cc1cccc(C)c1,PI294,1,10,-0.724611458511809,0.0,1,0.975086532705
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,PI1036,1,48,0.4385152090135334,0.0,1,1.2057794896
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,-0.10363103234772084,0.0,1,1.0982509435
*Oc1c(C)cc(C(C)(C)c2cc(C)c(ON3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(C(C)(C)C)CC6)cc5)cc4C3=O)c(C)c2)cc1C,PI1012,4,67,-0.16508002641259523,0.005638979194754625,4,1.086063233825
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI985,4,38,0.33709219133278084,0.007885446154275274,4,1.1856633866
*CC(*)C(=O)C1CCCCC1,PI300,1,10,-0.7965831017973178,0.0,1,0.960811775135
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,-0.25530545058245646,0.015166833263858892,2,1.0681680462499998
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,-0.09997482413678799,0.0,1,1.0989761108500002
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,0.2534370922915072,0.0,1,1.16907134835
*CC(*)C(=O)N1CCCCC1,PI461,1,10,-0.38365725810439016,0.0,1,1.0427109238
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,0.5198504468872863,0.008717383752473214,5,1.22191140975
*CC(*)c1ccccc1COC(C)C,PI88,1,13,-0.6735905225915942,0.0,1,0.98520595555
*CC(*)CCCCCCCCCCC,PI63,1,13,-1.4459441699006181,0.0,1,0.8320183865249999
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,2.637261012338764,0.0,1,1.64187573345
