smiles_list,monomer_ID,replicate_count,heavy_atom_count,static_dielectric_const,static_dielectric_const_std,static_dielectric_const_count,static_dielectric_const_raw
*CC(*)CCCCCCCCCCC,PI63,1,13,-0.9906453876653887,0.0,1,1.0114352447886987
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1058,5,52,-0.3908049014744883,0.003471159160815135,5,1.1800029661680196
*CC(*)CCCCCCCCCCCCCC,PI56,1,16,-0.9791753820664564,0.0,1,1.014658556239878
*CC(*)CCCN(CC(C)C)CC(C)C,PI266,1,14,-0.9244548309435712,0.0,1,1.0300361755032597
*CC(*)C(=O)OCC=C,PI427,2,8,0.3127579966195569,0.018853954710289892,2,1.3777188544900367
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c1,PI1055,5,60,-0.38455858709389157,0.018698758889071774,5,1.181758311141218
*CC(*)Cc1cc(C)ccc1C,PI291,1,11,-0.9271858005675638,0.0,1,1.0292687159248042
*CC(*)c1cccc2ccccc12,PI217,2,12,-0.8909852097886028,0.0007804205368738727,2,1.0394418390144862
*CC(*)c1ccc(Cl)c(F)c1,PI209,2,10,-0.31685436560090824,0.005872361976891255,2,1.2007846133124938
*CC(*)OC(C)CC,PI277,1,7,-0.6637124450059732,0.0,1,1.1033102389857308
*C1Cc2ccccc2C1*,PI386,1,9,-0.938682880061965,0.0,1,1.0260377961427884
*CC(*)c1ccccc1COC,PI85,2,11,1.4398683903119611,0.11362307721515202,2,1.6944604469326845
*CC/C=C(\*)C(C)(C)C,PI81,1,8,-0.9102002462683111,0.0,1,1.0340420119101614
*CC(*)CCCC(C)(C)C,PI41,1,9,-0.9622961301036185,0.0,1,1.0194019790455495
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,PI428,1,15,-0.4729505799871392,0.0,1,1.15691831255291
*CC(*)C(=O)O,PI410,2,5,1.2940299437749712,0.12152484329816277,2,1.6534767934644914
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,PI332,1,15,2.352673245941854,0.0,1,1.9509777013024432
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,0.0994459012859818,0.01588084148793734,3,1.3177736946003362
*CC(*)CCC1CCCCC1,PI42,1,10,-0.9887334102005352,0.0,1,1.0119725504424495
*C(c1ccccc1)C(*)[N+](=O)[O-],PI222,1,11,0.9599045682021965,0.0,1,1.5595805751999117
*CC(*)c1ccc(Cl)c(C)c1,PI207,2,10,-0.6824943528936254,0.009133292185989343,2,1.0980321300740055
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI965,4,44,-0.06174162774215265,0.008893337402112289,4,1.2724766279492057
*CC(*)OC(=O)CCCCCCCCC,PI384,1,14,-0.30572049511849,0.0,1,1.2039134637661733
*CC(*)c1cc(C)c(C)cc1C,PI211,1,11,-0.9180043408915435,0.0,1,1.0318488981101566
*CC*,PI1,1,2,-1.0197569446142027,0.0,1,1.003254288461746
*CC(*)c1ccccc1C(=O)OCCCC,PI102,1,15,-0.3222974430557018,0.0,1,1.1992549947139357
*CC(*)CCN(C(C)C)C(C)C,PI264,2,11,-0.6525421116353463,0.012588554287653026,2,1.1064493362735632
*CC(*)OC(=O)CC(C)(C)c1ccccc1,PI363,1,15,-0.4400624597965504,0.0,1,1.1661605621319298
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,-0.10407218946032915,0.0,1,1.2605808548265012
*CC(*)CCCCCCCCC,PI64,3,11,-0.9924670470945943,0.00024083919608219086,3,1.0109233203918306
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(*)C(=O)C6C5C4=O)cc3)cc2)cc1,PI1067,3,36,-0.13132525242123316,0.007989608246943952,3,1.2529221741777516
*CC(*)c1ccccc1C(=O)N(C)C,PI95,1,13,-0.06074206200097555,0.0,1,1.2727575268268874
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,-0.8363189854084325,0.0,1,1.054804191327003
*CC(*)c1cc(C)ccc1C,PI192,1,10,-0.9170928430494386,0.0,1,1.0321050480663916
*CC(*)c1ccc(COC(C)CC)cc1,PI152,1,14,0.17524136803418797,0.0,1,1.3390738059045288
*CC(*)c1ccc(COC)cc1,PI147,2,11,3.097641479499111,0.1368522029089443,2,2.1603293548198073
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,PI367,1,13,-0.6259425594895551,0.0,1,1.1139243667160723
*CC(*)C(=O)OCCc1ccccc1,PI474,1,13,-0.390528886551879,0.0,1,1.180080532133709
*CC(*)c1cc(Br)ccc1OCCCC,PI198,2,14,-0.5294342943748548,0.014560718355077646,2,1.141045207538209
*CC(*)c1ccccc1,PI82,1,8,-0.9285568663326228,0.0,1,1.0288834177710486
*Cc1cccc(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O*)cc3)cc2)c1,PI660,4,29,0.45892682994199663,0.11600224193817306,4,1.4187953535544828
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,PI1104,2,36,-0.27081848783045526,0.004060851035843176,2,1.2137216577369885
