smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_conductivity,thermal_conductivity_std,thermal_conductivity_count,thermal_conductivity_raw
*CC(*)C(=O)Oc1cccc(N(C)C)c1,PI475,2,14,0.7472172883117519,0.0041276214224769065,2,0.2697248135083046
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI1000,5,62,-0.834605544135154,0.008174889373835066,5,0.1856896584122039
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccccc8Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,PI1078,5,77,-0.8032091186151451,0.005641960156937302,4,0.18735760973640864
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,-1.1314359395151916,0.0,1,0.1699203903239361
*C(=O)Nc1cccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c1,PI990,3,29,1.4971911287710835,0.0066688438694994055,3,0.3095675611967589
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI987,4,38,0.30372119681037396,0.0008037708382772535,4,0.24616385455047912
*CC(*)CCCCCCCCCC,PI31,1,12,1.8728746762187294,0.0,1,0.329525943721798
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,1.7365023941063582,0.0,1,0.3222810957887366
*CC(*)c1ccc(C(C)(C)C)cc1,PI122,1,12,0.330763677194107,0.0,1,0.2476005002902014
*/C=C/CCC*,PI58,1,5,1.1161708991893524,0.0,1,0.2893256646765761
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,PI436,1,16,-1.8542327191903458,0.0,1,0.1315214380284979
