smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_diffusivity,thermal_diffusivity_std,thermal_diffusivity_count,thermal_diffusivity_raw
*CC(*)OC(C)=O,PI259,2,6,0.4676660673091163,7.205698401550115e-10,2,7.345486506556834e-08
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,PI1031,2,42,2.099335247345141,1.6210642926413036e-09,2,9.5864497118932e-08
*C(=O)Nc1cccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c1,PI990,3,29,1.674300874719803,1.500903479905452e-08,3,9.002700014521591e-08
*CC(*)CCCCCCCCC,PI64,3,11,0.7423816148563727,5.3189571664957374e-09,3,7.722785680629388e-08
*CC(*)c1ccc(CCC)cc1,PI233,2,11,0.08119437923653172,8.270690873418971e-10,2,6.814699479706346e-08
*CC(*)(C)C(=O)OCC(C)C,PI443,1,10,-0.7105122989430769,0.0,1,5.727355576342055e-08
*CC(*)(C)C(=O)OC1CCCCC1,PI448,1,12,-0.7515108087225528,0.0,1,5.671047500530143e-08
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,0.368218740471544,0.0,1,7.208903795405092e-08
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,PI471,2,18,0.4815422906792841,5.0049461565770654e-09,2,7.364544356261936e-08
*CC(*)OC(=O)CCCCC,PI385,1,10,-0.19985962580567435,0.0,1,6.42869495641315e-08
*CC/C=C(\*)C(C)(C)C,PI81,1,8,-0.4442590748296507,0.0,1,6.093032446286483e-08
*CC(*)c1ccc(C(C)(C)C)cc1,PI122,1,12,0.5399334555035523,0.0,1,7.444739811007871e-08
*CC(*)OC=O,PI270,1,5,-0.2915068699892928,0.0,1,6.302825016232364e-08
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,PI399,1,35,0.005235517128991971,0.0,1,6.710376239931444e-08
*CC(*)c1cc(Br)ccc1OCC,PI199,1,12,-1.7357980925640988,0.0,1,4.319209999670639e-08
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1003,1,58,-0.7088723613271735,0.0,1,5.729607895562919e-08
*CC(OC)C(C(=O)O)C(*)C(=O)O,PI388,1,12,0.8549927749303053,0.0,1,7.877447832322634e-08
*CC(*)OC(=O)CCCCCCCCC,PI384,1,14,0.9309160730823979,0.0,1,7.981722227934412e-08
*CC(*)(C)C(=O)OCc1ccccc1,PI450,1,13,-0.8285509719067096,0.0,1,5.5652391828017954e-08
*CC(*)C(=O)Oc1ccc(OC)cc1,PI464,1,13,-0.15385344972394116,0.0,1,6.491880649370293e-08
*/C=C/C(C*)OC,PI279,3,6,0.05577857379872899,5.014949928533129e-09,3,6.779792964637619e-08
*CC(*)OC,PI253,1,4,-0.04663806812263988,0.0,1,6.639132143824156e-08
*CC(*)c1ccc(COCC(CC)CCCC)cc1,PI235,2,18,-0.09995700978002148,1.2695371285764815e-09,2,6.565902969758963e-08
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,PI991,5,39,2.6508044921625578,4.9861759164817985e-09,5,1.034384729078427e-07
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,PI369,2,14,-0.461480944200776,1.6504928679573984e-09,2,6.06937962740628e-08
*Cc1cccc(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O*)cc3)cc2)c1,PI660,4,29,0.41010082276169796,2.4470387065268466e-09,4,7.266425385273593e-08
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,PI365,2,13,-0.5921713439822593,4.1131327342861467e-11,2,5.889887129304099e-08
*CC(*)CCCCCCCCCCCC,PI32,2,14,1.647861864263304,5.096835408671071e-09,2,8.966388211649143e-08
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,PI800,1,21,-0.5573745156306885,0.0,1,5.937677706556134e-08
*C(F)(F)C(*)(F)c1ccccc1,PI215,1,11,-0.038054881936016374,0.0,1,6.650920442986827e-08
*CC(*)c1ccccc1,PI82,1,8,-0.8308274591281173,0.0,1,5.562112615135376e-08
*C(F)C(*)(F)OC(F)(F)F,PI314,1,9,-1.867796674929389,0.0,1,4.137920820554903e-08
