smiles_list,monomer_ID,replicate_count,heavy_atom_count,Rg,Rg_std,Rg_count,Rg_raw
*CC(*)CCCCCCC,PI11,1,9,-0.7469301820712089,0.0,1,14.781743785000012
*C=CCC(C)(CC*)C(=O)OC,PI280,1,11,0.016203480745481683,0.0,1,18.348815185000003
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,-0.8752926990497532,0.0,1,14.181746320000013
*C(F)(F)C(*)(F)OC(F)(F)F,PI315,2,10,0.3636409050070153,0.82180345028637,2,19.972821777500005
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,PI399,1,35,-0.9278525475265674,0.0,1,13.936068869999996
*CC(*)c1ccncc1,PI226,1,8,-0.4678827511272321,0.0,1,16.086078999999994
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI1071,5,49,0.8175923111208817,0.9723135714633377,5,22.094700495
*CC(*)O,PI241,1,3,0.9209149530561245,0.0,1,22.577655525
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,PI991,5,39,2.6655231466314344,2.080229542105163,5,30.732376375
*CC(*)C(=O)OCCCCCCCC,PI421,1,13,-0.8531384009768782,0.0,1,14.285300870000004
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1051,4,72,0.4281457015175898,0.9005187993873833,4,20.274332804999993
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,1.2099066669959653,2.130948338516974,3,23.928472725
*C=CC(C)C(*)C(=O)OC,PI268,2,9,0.54880106508274,0.38365455857287206,2,20.83830517
*CC(*)c1ccc(CCCC)cc1,PI121,2,12,-0.7285247127047108,0.39695070103697006,2,14.867775402500001
*CC(*)OC(=O)c1ccncc1,PI354,2,11,-0.575686936831019,1.1352506245987029,2,15.582176149999999
*CC(*)c1ccccc1C(=O)N(C)C,PI95,1,13,-0.6609623797906857,0.0,1,15.183578095
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,0.5893500034935273,0.4720669972361483,5,21.027840720000007
*CC(*)C1CCCCC1,PI24,1,8,-0.6074716766378917,0.0,1,15.433606584999993
*CC(*)c1cc(C(C)(C)C)ccc1C,PI193,2,13,-0.6403772826786772,1.629644787264455,2,15.279797820000004
*CC(*)c1ccc(C(=O)CC)cc1,PI167,1,12,-1.0966418109106613,0.0,1,13.14710701
*CC(*)OC=O,PI270,1,5,0.07164653468519576,0.0,1,18.607969435
*CC(*)c1ccccc1COCCCCC,PI90,2,15,-0.8696477340189023,0.1565755349060809,2,14.208132252499999
*CC(*)c1ccc(CC)cc1,PI119,1,10,-0.6124179417476014,0.0,1,15.410486545
*C1CCC1*,PI72,2,4,2.3709539197741782,2.730247716986154,2,29.355488530000002
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,0.09403008597292906,0.9780769303887328,2,18.712595570000005
*CC(*)CCCCCCCC,PI12,1,10,-0.91814774400262,0.0,1,13.98143147
*CC(*)N1CCCC1=O,PI408,1,8,-0.17192248695665927,0.0,1,17.469468890000012
*Cc1cc(*)c(O)cc1C,PI1138,1,9,0.10497456323002859,0.0,1,18.763752704999995
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,PI332,1,15,-0.3261274486827074,0.0,1,16.748677585000003
*CC(*)C(N)=O,PI455,1,5,-0.5120540009389055,0.0,1,15.879611889999996
*c1ccc(Oc2c(C)cc(-c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)c(C)c3)cc2C)c(C(F)(F)F)c1,PI1075,5,68,1.3078886804125256,1.0138248127830112,5,24.386464365000005
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCCCCCCCCCC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1044,1,72,0.47162786526642303,0.0,1,20.47757896000002
*CCC=C(*)CCCCCCC,PI68,2,11,-0.7713595276394268,0.22243185426120615,2,14.667555112500004
*CC(*)c1c(Cl)cccc1Cl,PI186,2,10,-0.0005741230678127717,0.25828210089222375,2,18.270392605000005
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,PI156,1,15,-0.8990731410063058,0.0,1,14.070590779999998
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(C2CCC(N4C(=O)c5ccc(*)cc5C4=O)CC2)C3=O)cc1,PI1088,1,40,3.62507579668144,0.0,1,35.21755764999999
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,-0.8462523165239135,0.0,1,14.317488095000003
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,PI1011,5,36,0.5617563913819682,0.5494619773734757,5,20.898861500000013
*CC(*)c1ccc(C(C)=NO)cc1,PI138,2,12,-0.2623546794222403,0.9059461767924986,2,17.046766939999998
