smiles_list,monomer_ID,replicate_count,heavy_atom_count,compressibility,compressibility_std,compressibility_count,compressibility_raw
*C(C)C(*)OC(C)(C)C,PI285,2,8,0.2820434399171413,1.3062039620993704e-12,2,4.08616287675396e-10
*CC(*)CCC,PI4,2,5,0.10115060803267455,1.4932240718018845e-11,2,3.8987673990105985e-10
*C=CCCCCCC*,PI57,1,8,0.6116594817587817,0.0,1,4.4276277926896037e-10
*CC(*)CCCCCCCCCCCC,PI32,2,14,0.6386267213735285,5.1661991483783546e-11,2,4.4555644372673876e-10
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,-0.4326301463484906,0.0,1,3.3457985586457323e-10
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,0.2776502203558426,5.6738006664043615e-11,2,4.081611731913423e-10
*/C=C\CCCC*,PI60,2,6,0.5365251922003823,4.284344505126676e-11,2,4.349792612931365e-10
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,-1.2707905821612568,3.585135578464782e-11,2,2.477508346930579e-10
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,-0.887100404075797,2.1185099175511245e-11,4,2.874991229357245e-10
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.1696942011449285,0.0,1,2.582238890542056e-10
