smiles_list,monomer_ID,replicate_count,heavy_atom_count,isentropic_bulk_modulus,isentropic_bulk_modulus_std,isentropic_bulk_modulus_count,isentropic_bulk_modulus_raw
*C(C)C(*)OC(C)(C)C,PI285,2,8,-0.5359239722817424,12773862.282633593,2,2485275656.1023827
*CC(*)CCC,PI4,2,5,-0.3303871173456824,73665723.20532435,2,2642892192.579696
*C=CC1CCC(*)C1,PI75,1,7,-0.48780759401426926,0.0,1,2522173841.0663915
*CC(*)CCCCCCCCCCCC,PI32,2,14,-0.6626143593627768,265803114.5987641,2,2388122763.38689
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,0.23132241772116743,0.0,1,3073640787.2833614
*CC(*)c1ccc(COCCCCCC)cc1,PI153,1,16,-0.07548219827682615,0.0,1,2838366772.9762955
*/C=C\CCCC*,PI60,2,6,-0.5444646800072895,182495663.33077866,2,2478726189.481496
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,1.6223588055529354,589331033.6198988,2,4140361097.0407643
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,0.8159090265465008,236722784.74878734,4,3521932732.699822
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,1.318276807244037,0.0,1,3907174930.046729
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1059,4,48,-0.9863004151967691,441646758.734064,4,2139903167.7215414
*C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,PI1018,4,28,1.4635232497253798,424230898.06932765,4,4018557587.948556
*/C=C\CCCCC*,PI74,1,7,-0.28769395065913944,0.0,1,2675631571.9307857
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-0.039932286124761913,440778361.7781558,4,2865628326.7605267
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,PI129,1,22,-1.1678657541050106,0.0,1,2000669258.2022524
*CC(*)CNc1ccc([N+](=O)[O-])cc1,PI392,2,13,2.654805931700797,145300817.33624977,2,4932096185.961948
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,-1.1954263732956725,125437340.80386817,2,1979534317.0193017
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,1.689335246045684,148325449.63047564,5,4191722175.711205
*CC(*)C(=O)OC(CC)CC,PI457,2,10,-0.9483363646772038,225610345.49051368,2,2169016010.551627
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,0.4685710869771244,382885881.2149202,5,3255575621.031832
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,-0.03793870019122771,37444249.54971132,2,2867157113.946218
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,-1.5017614206510814,0.0,1,1744620392.7948904
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,0.4484576982736714,0.0,1,3240151610.2613726
*CC(OC)C(C(=O)O)C(*)C(=O)O,PI388,1,12,4.663346798970478,0.0,1,6472351606.191427
*C(CC)C(*)CC,PI62,1,6,-0.799512239565737,0.0,1,2283142224.8095665
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,-0.9168264405755717,0.0,1,2193179487.7202706
*CC(*)(C)c1ccccc1,PI213,1,9,-0.5014299445278495,0.0,1,2511727501.857307
