smiles_list,monomer_ID,replicate_count,heavy_atom_count,isentropic_compressibility,isentropic_compressibility_std,isentropic_compressibility_count,isentropic_compressibility_raw
*C(C)C(*)OC(C)(C)C,PI285,2,8,0.35936402763969816,2.1821581330288753e-12,2,4.0261851666976075e-10
*CC(*)CCC,PI4,2,5,0.11575330133515092,1.046403197857985e-11,2,3.7863755993579676e-10
*C=CCCCCCC*,PI57,1,8,0.37277953599884733,0.0,1,4.0393913473286975e-10
*CC(*)CCCCCCCCCCCC,PI32,2,14,0.5505933287773457,4.6941788232620514e-11,2,4.214430637921856e-10
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,-0.4067539225964561,0.0,1,3.272021271846831e-10
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,0.19085793268077883,5.596007258447119e-11,2,3.8603083420635666e-10
*/C=C\CCCC*,PI60,2,6,0.3812923715862129,2.989105956737227e-11,2,4.047771353619913e-10
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,-1.235153097025343,3.664085403599179e-11,2,2.4565479525154147e-10
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,-0.8436618951181071,2.1177855901512356e-11,4,2.8419305552062447e-10
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.1305157832407373,0.0,1,2.5595525669957256e-10
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1059,4,48,1.0195335483440797,1.0710437386394733e-10,4,4.676053789202429e-10
*C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,PI1018,4,28,-1.1971580407091993,2.8577772387407196e-11,4,2.493950156246087e-10
*/C=C\CCCCC*,PI74,1,7,0.06718724966446919,0.0,1,3.73856734388739e-10
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-0.15110989069203049,5.2128964743725664e-11,4,3.523676384139877e-10
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,PI128,2,20,0.5861164568518074,3.469795899915509e-11,2,4.249399483930047e-10
*CC(*)CNc1ccc([N+](=O)[O-])cc1,PI392,2,13,-1.6690369404031353,6.106058518053509e-12,2,2.0294341782803176e-10
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,1.4145336456471753,3.198073808168597e-11,2,5.06489053654233e-10
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-1.3070996834810025,9.022844692951294e-12,5,2.3857239784186156e-10
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,PI434,1,15,0.041767422058931705,0.0,1,3.713544152370316e-10
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,-0.6101353389527351,3.265307933315488e-11,5,3.0718132998860657e-10
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,-0.1869971443344692,4.575029704581255e-12,2,3.4883490941656157e-10
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,2.096598285481061,0.0,1,5.736312639573014e-10
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,-0.5941426323614255,0.0,1,3.0875564656588947e-10
*CC(OC)C(C(=O)O)C(*)C(=O)O,PI388,1,12,-2.1610846889639883,0.0,1,1.5450640543420618e-10
*C(CC)C(*)CC,PI62,1,6,0.7264184376414428,0.0,1,4.3875122748586167e-10
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,0.9028544358927384,0.0,1,4.561195269222691e-10
*CC(*)C,PI2,1,3,-0.5920537952070086,0.0,1,3.0896127098228624e-10
*CC(*)N1Cc2ccccc2N1,PI229,2,11,-0.4586581247201926,3.670337503823559e-11,2,3.2209269524659927e-10
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.07236842278296148,4.725134162052679e-11,2,3.6011892163431506e-10
*CC(*)c1ccc(OC)cc1,PI178,1,10,0.09513317927628988,0.0,1,3.766077221595881e-10
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC(*)(C)C)cc5C4=O)cc3)cc1)C2=O,PI989,4,49,-1.153542002387015,1.3474890846960608e-11,4,2.536885635474683e-10
*CC(*)C=O,PI242,1,4,-1.8903446568135407,0.0,1,1.8115796177427983e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,-1.263251591686885,2.4615391794057432e-12,2,2.4288878902928025e-10
