smiles_list,monomer_ID,replicate_count,heavy_atom_count,linear_expansion,linear_expansion_std,linear_expansion_count,linear_expansion_raw
*CC(*)c1ccc(N(C)C)cc1,PI177,1,11,0.0035558056075013296,0.0,1,0.0001142312750412
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI1112,3,54,-1.285597717552316,2.742804150135225e-05,3,4.00510527491e-05
*CC(*)OC(=O)CCCCCCC,PI370,1,12,1.2472621227503327,0.0,1,0.0001857963830088
*CC(*)c1ccc(C(C)C)cc1C(C)C,PI188,2,14,-0.3850547346493604,3.5528574708113627e-06,2,9.18699226162e-05
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.7811630127851232,3.5163171799565004e-06,2,6.907713681065e-05
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,PI185,2,15,0.33760275208459467,6.746192515698014e-05,2,0.0001334529397231
*CC(*)c1ccc(C(=O)OCCC)cc1,PI162,1,14,1.3374362077702406,0.0,1,0.0001909851627403
*CC(*)c1ccc(O)cc1,PI231,1,9,-1.078469780225415,0.0,1,5.19695683935e-05
*CCC=C(*)CCC,PI77,1,7,1.9752116394308188,0.0,1,0.0002276839130777
*CC(*)C(N)=O,PI455,1,5,-1.8779234808140481,0.0,1,5.9675584261e-06
*CC(*)Cc1ccccc1,PI26,1,9,-0.7757756110575345,0.0,1,6.93871376372e-05
*CC(*)c1ccc(C(C)(C)O)cc1,PI139,1,12,0.04043628239948618,0.0,1,0.0001163534442922
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,0.5435259579929986,0.00014548474495497,5,0.0001453021329456
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4C(F)(F)F)c(C(F)(F)F)c2)C3=O)cc1,PI1089,2,54,-0.89743308084645,1.381602782405315e-05,2,6.238674707835e-05
*/C=C\CCCCC*,PI74,1,7,0.836601615487345,0.0,1,0.0001621662356539
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,PI815,1,26,-0.5150680120110891,0.0,1,8.43887237967e-05
*CC(*)OC(=O)C1CCCCC1,PI340,1,11,0.11692762246526561,0.0,1,0.0001207548941642
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,-0.3572336068215469,0.0,1,9.34708005641e-05
*CCC(C)C(*)C,PI51,2,6,0.36086326863036516,3.5260014041107515e-05,2,0.0001347913918601
*CC(*)C(=O)OCCCC,PI415,1,9,3.4550220763660144,0.0,1,0.0003128348785678
*C=CC(C*)OC,PI303,3,6,1.6412332369698963,2.4957509267835786e-05,3,0.0002084661925423
