smiles_list,monomer_ID,replicate_count,heavy_atom_count,nematic_order_parameter,nematic_order_parameter_std,nematic_order_parameter_count,nematic_order_parameter_raw
*C=CC(C)CCCCC*,PI80,1,9,0.04558796886897974,0.0,1,0.052676825577162
*CC(*)c1cc(Cl)ccc1Cl,PI195,2,10,0.14171939673663073,0.013786334609290215,2,0.05493236436737971
*/C=C\CCCCC*,PI74,1,7,-0.887319016601526,0.0,1,0.0307879600930171
*CC(*)P(=O)(OCC)N(C)C,PI381,3,10,-0.40779879664910385,0.00643372077305555,3,0.0420389784206079
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,PI174,1,17,0.38927209981250777,0.0,1,0.0607407117184626
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI1071,5,49,0.7891380931744676,0.035552122077267684,5,0.0701227970460471
*CC(*)O,PI241,1,3,-0.15810063844591382,0.0,1,0.0478976647437592
*CC(*)OC(=O)CCCCC,PI385,1,10,-1.1421085764422874,0.0,1,0.0248098138373042
*C(C)C(*)OCCC,PI289,1,7,-0.8681584484257879,0.0,1,0.0312375259189038
*C=CCCCCCC*,PI57,1,8,0.33949014081807094,0.0,1,0.0595726739387724
*CC(*)CCCCCCCC,PI12,1,10,0.7500234731756784,0.0,1,0.0692050478288675
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,1.3882300701335322,0.0035778871447393963,3,0.0841793363372324
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.14120443907261257,0.01667427687453892,2,0.0482941015172377
*CC(*)O[N+](=O)[O-],PI267,1,6,-1.2611181321265053,0.0,1,0.0220174838448496
*CC(*)C(=O)OCCCCCCCCCCCCCC,PI423,1,19,-0.086793140318806,0.0,1,0.0495707578375235
*CC(*)CCCCCCCCCCCCCCCC,PI33,2,18,0.4803420720472095,0.0016605091536372068,2,0.0628774932014363
*CC(*)C(C)=O,PI246,1,5,-1.231747545468606,0.0,1,0.0227066080882713
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,-0.32157885411808795,0.0,1,0.0440619632985272
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,PI1032,3,40,1.114959509570553,0.012503342124080438,3,0.0777675689969727
*CC(*)CCCC(C)(C)C,PI41,1,9,-1.3891814555334687,0.0,1,0.0190127246318035
