smiles_list,monomer_ID,replicate_count,heavy_atom_count,self-diffusion,self-diffusion_std,self-diffusion_count,self-diffusion_raw
*C(c1ccccc1)C(*)[N+](=O)[O-],PI222,1,11,1.4700839041927574,0.0,1,1.3408876757723977e-12
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,PI238,2,16,-0.46830246142472737,3.5866092399004085e-14,2,4.409983633344595e-13
*C(C)C(*)O,PI297,2,4,-0.3853666835766262,1.9636116963122746e-13,2,4.795010176184823e-13
*CC(*)OC(=O)c1cccnc1,PI368,1,11,0.6026763475232445,0.0,1,9.381966521352477e-13
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,-0.8679321538273085,1.672286716493705e-13,2,2.554716306330646e-13
*CC(*)C(=O)c1ccc(C(C)C)cc1,PI326,2,13,-0.10330896134847488,2.7000693375511414e-13,2,6.104453609268639e-13
*c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI973,5,56,-1.3197273467075792,7.075711313388339e-14,5,4.572724081721973e-14
*CC(*)c1ccc(COCCC)cc1,PI149,1,13,0.1836568922255857,0.0,1,7.436682876077706e-13
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,PI143,2,16,0.6418756537938763,1.810776459039277e-13,2,9.563947974553041e-13
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1111,3,52,-0.8483931832623145,2.473208283375152e-13,3,2.6454253161511744e-13
*CC(*)c1ccncc1,PI226,1,8,-1.2910515036763468,0.0,1,5.903990393055815e-14
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,-0.0839272441245628,0.0,1,6.194432575773269e-13
*CC(*)c1ccc(COC)cc1,PI147,2,11,-0.15657565223229855,2.3039091283038773e-13,2,5.85716479891829e-13
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1037,3,46,-0.9907655492751285,1.3563049257773288e-13,3,1.9844664235693e-13
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,PI129,1,22,3.3839412592733287,0.0,1,2.2293894780532397e-12
*CC(*)c1ccc(C(=O)OCCC)cc1,PI162,1,14,0.15562487107577186,0.0,1,7.30654516624752e-13
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,PI394,1,14,-0.628476435667578,0.0,1,3.666381376805122e-13
*CC(*)C(=O)Oc1ccccc1C(=O)OC,PI465,2,15,-0.7347557250128807,6.663697900140633e-15,2,3.1729833715789016e-13
*CC(*)c1ccccc1COC,PI85,2,11,-0.46349492400614034,3.576818161672381e-13,2,4.432302463165469e-13
*CC(*)OC=O,PI270,1,5,-0.9921935443836917,0.0,1,1.9778370045886298e-13
*CC(*)c1ccccc1C(=O)OCCCC,PI102,1,15,-0.28658148303350517,0.0,1,5.253617127681176e-13
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,0.8414159319470286,0.0,1,1.049030696518551e-12
*CC(*)c1ccc(COCCOCCCC)cc1,PI154,1,17,1.673288980172535,0.0,1,1.4352249448281926e-12
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,PI817,1,24,-0.10813154986582672,0.0,1,6.082064905230946e-13
*CC(*)c1cccc(CC)c1,PI114,1,10,1.4278014762170914,0.0,1,1.3212582016313598e-12
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1061,3,36,-0.7450677477023517,2.8643274256515267e-13,3,3.1251101551114693e-13
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1054,5,64,-0.5568272115741314,2.908993777155455e-13,5,3.99901047567739e-13
*CC(*)OC(=O)c1cccc(Br)c1,PI334,1,12,-0.9294703060671836,0.0,1,2.269027516468561e-13
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,-0.4124318311901714,2.0149201516936009e-13,4,4.66936114403624e-13
*CC(*)CCN(C(C)C)C(C)C,PI264,2,11,1.6035646826362997,4.985807840523383e-13,2,1.4028556755828873e-12
*CC(*)(C)C,PI13,1,4,0.10083318302339922,0.0,1,7.052176608134717e-13
*C(C)C(*)OCCCC,PI284,1,8,1.00104878832595,0.0,1,1.1231397100348374e-12
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,PI800,1,21,0.2116408965504524,0.0,1,7.566597669422543e-13
*CC(*)c1cc(C(C)(C)C)ccc1C,PI193,2,13,-0.5262930907632954,2.6803018784659274e-13,2,4.140764098534756e-13
*CC(*)C(=O)Oc1cccc(N(C)C)c1,PI475,2,14,-0.24478944482811316,5.901354435862416e-14,2,5.447635251173547e-13
*CC(*)OCCOC,PI375,2,7,1.5699046793398082,0.0,1,1.3872291329284309e-12
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI1109,2,42,-1.2630983604892037,3.4741209992718645e-14,2,7.201705608626071e-14
*C(CC)C(*)CC,PI62,1,6,-0.6603492728973912,0.0,1,3.518412808263081e-13
*CC(*)c1ccc(Cl)cc1C,PI190,2,10,-0.14256309247934482,3.2250865751698656e-14,2,5.922217633509211e-13
*CC(*)c1cccs1,PI373,1,7,-0.7149784396766419,0.0,1,3.264798749662452e-13
*CC(*)c1ccc(C(=O)CCCC)cc1,PI169,3,14,0.553890671424937,2.5638633984089456e-13,3,9.155480670545634e-13
*CC(*)OC(=O)CCCCC,PI385,1,10,3.2528717048992366,0.0,1,2.168540880859524e-12
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(*)C(=O)C7C6C5=O)cc4)cc3)cc2)cc1,PI1068,5,45,-0.8986925684270145,2.200755440018727e-13,5,2.411912122214248e-13
*CC(*)C,PI2,1,3,-0.7687748538738088,0.0,1,3.0150507167511e-13
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,PI1011,5,36,-0.7517680247076783,2.4409743295787883e-13,5,3.0940043457928693e-13
*C1CCC(CC2CCC(N3C(=O)C4C5C=CC(C6C(=O)N(*)C(=O)C56)C4C3=O)C(C)C2)CC1C,PI1082,4,33,-1.259796724271478,1.1195817974608606e-13,4,7.354982953049759e-14
*CC(*)OCC(C)(C)C,PI276,1,8,1.295218768268972,0.0,1,1.259707128010087e-12
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(c7ccccc7)CC6)cc5)cc4C3=O)cc2)cc1,PI1028,2,61,-0.31406711150799904,5.745051562460931e-13,2,5.126016027361025e-13
*Oc1c(C)cc(C(C)(C)c2cc(C)c(ON3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(C(C)(C)C)CC6)cc5)cc4C3=O)c(C)c2)cc1C,PI1012,4,67,-0.07994656892502057,4.950556845426741e-13,4,6.212912725715996e-13
*c1ccc(S(*)(=O)=O)cc1,PI1137,1,9,-0.6908075318101676,0.0,1,3.377011371700955e-13
*CCCC=C(*)c1ccccc1,PI390,1,11,0.3619196397782911,0.0,1,8.264261650742684e-13
*CC(*)N1CCNC1,PI400,3,7,-0.7821320202230053,1.1287233297241635e-13,3,2.9530405238643553e-13
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc(Oc6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)cc2)cc1,PI1062,4,43,-1.1301552968267028,5.478817823733305e-14,4,1.337354236288072e-13
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,0.06087618541263443,0.0,1,6.866677598521217e-13
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,PI1110,1,42,0.25665734377626215,0.0,1,7.775585002706473e-13
*C(C)C(*)OCC,PI286,1,6,-0.8107520443549456,0.0,1,2.820173030082513e-13
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,-1.0525549678680033,1.2812762794106172e-13,2,1.6976111381640643e-13
*CC(*)(C)C(=O)OC(C)(C)C,PI444,1,10,1.310258343581551,0.0,1,1.266689199968215e-12
*CC(*)c1cc(Cl)ccc1Cl,PI195,2,10,-0.889079921680615,1.0115935829699089e-13,2,2.456538509526721e-13
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,PI547,1,18,-0.9296961595512833,0.0,1,2.26797899930953e-13
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,PI433,1,15,0.4080385639011106,0.0,1,8.478367195722829e-13
*CC(*)c1ccc(OCCC)cc1,PI180,2,12,1.2039166937606385,5.4155311831066275e-14,2,1.2173204488057642e-12
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(c%10ccccc%10)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1039,2,84,-1.0686119153682438,1.5855647950764635e-13,2,1.6230673026205218e-13
*c1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(*)C(=O)C5C4C3=O)cc2)cc1,PI1064,5,29,-1.2399079870814274,9.185219485536012e-14,5,8.278310848492948e-14
*CC(*)OC(C)(C)C,PI272,1,7,-0.33894294408212805,0.0,1,5.010530816215706e-13
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,PI963,3,53,0.5267367273757885,3.89998035694114e-13,3,9.029419403948857e-13
*CC(*)c1c(Cl)cccc1Cl,PI186,2,10,1.853680334187031,5.2418573012319196e-14,2,1.5189710206432386e-12
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,PI468,1,16,-0.5304403152274958,0.0,1,4.121510749265421e-13
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,0.5382733970337549,2.5564099955942873e-14,2,9.082978002536212e-13
*CC(*)c1ccc(COC(C)CC)cc1,PI152,1,14,1.8480891519133265,0.0,1,1.5163753331883301e-12
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI987,4,38,-1.1264159594189995,8.03277863492682e-14,4,1.3547139836969414e-13
*C=CCC(C)(CC*)C(=O)OC,PI280,1,11,-0.5767170700121329,0.0,1,3.906672480777393e-13
*CC(*)CCCCC,PI8,1,7,1.6705021661637254,0.0,1,1.433931175852738e-12
*CC(*)c1ccc(F)cc1C,PI189,1,10,-0.7401547943850711,0.0,1,3.147918374675678e-13
*CC(*)c1cc(Br)ccc1OC,PI200,1,11,-0.8264425706645918,0.0,1,2.747330292519824e-13
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-1.143948610547513,8.863444683002498e-14,5,1.273319243984015e-13
*CC(*)c1ccccc1COCCC(C)C,PI91,2,15,0.2777500759889642,1.2787456035946904e-17,2,7.873507298410815e-13
*CC(*)c1ccc(C(=O)OC)cc1,PI160,2,12,-0.4376035327324829,9.873376847937607e-14,2,4.552502371215746e-13
*C(F)C(*)(F)OC(F)(F)F,PI314,1,9,-0.7456552222625605,0.0,1,3.122382824340688e-13
