smiles_list,monomer_ID,replicate_count,heavy_atom_count,volume_expansion,volume_expansion_std,volume_expansion_count,volume_expansion_raw
*CC(*)c1ccc(N(C)C)cc1,PI177,1,11,0.0035558056069718734,0.0,1,0.0003426938251236
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI1112,3,54,-1.2855977175516884,8.228412450405675e-05,3,0.0001201531582475
*CC(*)OC(=O)CCCCCCC,PI370,1,12,1.2472621227503835,0.0,1,0.0005573891490265
*CC(*)c1ccc(C(C)C)cc1C(C)C,PI188,2,14,-0.3850547346490215,1.0658572412363365e-05,2,0.00027560976784875
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.7811630127850743,1.0548951540010929e-05,2,0.00020723141043205
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,PI185,2,15,0.33760275208464463,0.00020238577547108182,2,0.0004003588191694
*CC(*)c1ccc(C(=O)OCCC)cc1,PI162,1,14,1.3374362077702915,0.0,1,0.000572955488221
*CC(*)c1ccc(O)cc1,PI231,1,9,-1.078469780225946,0.0,1,0.0001559087051805
*CCC=C(*)CCC,PI77,1,7,1.9752116394302917,0.0,1,0.0006830517392331
*CC(*)C(N)=O,PI455,1,5,-1.8779234808140004,0.0,1,1.79026752784e-05
*CC(*)Cc1ccccc1,PI26,1,9,-0.7757756110574853,0.0,1,0.0002081614129117
*CC(*)c1ccc(C(C)(C)O)cc1,PI139,1,12,0.040436282398956684,0.0,1,0.0003490603328766
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,0.54352595799247,0.0004364542348649679,5,0.0004359063988368
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4C(F)(F)F)c(C(F)(F)F)c2)C3=O)cc1,PI1089,2,54,-0.8974330808461114,4.144808347223015e-05,2,0.00018716024123520002
*/C=C\CCCCC*,PI74,1,7,0.8366016154879752,0.0,1,0.0004864987069619
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,PI815,1,26,-0.5150680120116191,0.0,1,0.0002531661713901
*CC(*)OC(=O)C1CCCCC1,PI340,1,11,0.11692762246473612,0.0,1,0.0003622646824926
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,-0.35723360682149735,0.0,1,0.0002804124016924
*CCC(C)C(*)C,PI51,2,6,0.36086326862983625,0.00010578004212332254,2,0.0004043741755803
*CC(*)C(=O)OCCCC,PI415,1,9,3.4550220763666473,0.0,1,0.0009385046357036
*C=CC(C*)OC,PI303,3,6,1.6412332369693683,7.487252780353521e-05,3,0.0006253985776269
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,-0.9340005045048143,5.037493070527157e-06,2,0.00018084777441045
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI981,2,57,-1.0812861902765922,2.2091023634489753e-05,2,0.00015542252121589998
*CC(*)c1cc(C)ccc1F,PI197,2,10,-0.4253741095462859,2.0143408929127822e-06,2,0.00026864961887
*C(F)(F)C(*)(F)c1ccccc1,PI215,1,11,2.839004247090917,0.0,1,0.0008321642999159
*CCC=C(*)CCCCCCC,PI68,2,11,0.9319466465324098,1.1671949585041049e-05,2,0.00050295768287965
*Nc1ccc(*)cc1,PI1131,2,7,-1.4753480411072868,0.00012920600775994672,2,8.739742916990001e-05
*CC(*)Cc1ccc(C)c(C)c1,PI292,2,11,0.12364601074345077,2.5214150147142152e-05,2,0.0003634244470831
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,PI469,2,15,-0.21473597272562392,4.397164904447042e-05,2,0.000305011115461
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,0.36968392769550706,0.00015589978209771586,2,0.0004058968455459
*CC(*)N1CCCC1=O,PI408,1,8,-0.06143012318438657,0.0,1,0.0003314756019477
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,-0.6276142562117593,0.0,1,0.0002337378288469
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.1050457640288973,0.0,1,0.0001513210148456
*CC(*)OC(=O)c1cccc(Br)c1,PI334,1,12,-0.3930251956225361,0.0,1,0.0002742338636849
*CC(*)CC(C)CC,PI38,1,7,0.7727620808327593,0.0,1,0.0004754783805539
*CC(*)c1c(F)c(F)c(F)c(F)c1F,PI212,1,13,-0.30966776203815166,0.0,1,0.0002886234755703
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,PI1108,2,42,-1.1112683655183417,2.477090668464265e-05,2,0.00015024683565724998
*CC(*)C1CCC(C)CC1,PI66,1,9,-0.23916774667465612,0.0,1,0.0003007935702502
*CC(*)c1ccc(CCCCCCCCCC)cc1,PI127,2,18,1.0031762075311939,4.86145246291042e-05,2,0.0005152537156804
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5cccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,PI984,5,60,-0.9981438725363916,0.00011273204011364907,5,0.0001697749986386
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,PI336,1,17,0.5012560660860359,0.0,1,0.0004286095410424
*CC(*)CCCCCCCCCCCC,PI32,2,14,1.2421017517368393,5.015393445349224e-05,2,0.00055649833781895
*C(O)C(*)O,PI305,2,4,-1.3956766651177186,0.00015897868412733114,2,0.00010115073381915
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,-0.01262805281246905,0.0,1,0.0003399000797856
*CC(*)C(=O)N1CCCCC1,PI461,1,10,-0.44853146223576973,0.0,1,0.0002646520711629
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI975,5,46,-1.0603536370308688,8.482334189070563e-05,5,0.0001590360119872
